 ;Jméno;Příjmení;Smlouva;Pozice;Tým;Věk;Držení hole;Národnost;Výška (cm);Váha (kg);Zápasy;PPP;Body;Góly;Asistence;Ø TOI;+/-;TM;HITY;BLOKY;ÚSP. Vhazování
;David;Aubrecht;-;O;LIB;0;L;CZE;;;;;;;;;;;;;
;Michal;Ivan;26/27;O;LIB;0;L;CZE;;;;;;;;;;;;;
;Petr ;Kolmann;26/27;O;LIB;0;L;CZE;;;;;;;;;;;;;
;Lukáš;Kachlíř;Junior;O;LIB;0;P;CZE;;;;;;;;;;;;;
;Radim;Šimek;26/27;O;LIB;0;L;CZE;;;;;;;;;;;;;
;Denis;Zeman;26/27+1;O;LIB;0;P;CZE;;;;;;;;;;;;;
;Kristpas;Zile;26/27+1;O;LIB;0;L;LAT;;;;;;;;;;;;;
;Martin;Faško-Rudáš;-;RW;LIB;0;P;SVK;;;;;;;;;;;;;
;Tomáš;Filippi;26/27;C;LIB;0;L;CZE;;;;;;;;;;;;;
;Jakub;Hujer;27/28+1;LW;LIB;0;L;CZE;;;;;;;;;;;;;
;Filip;Jansa;27/28;LW;LIB;0;L;CZE;;;;;;;;;;;;;
;Radan;Lenc;27/28;LW;LIB;0;L;CZE;;;;;;;;;;;;;
;Adam;Musil;26/27;C;LIB;0;P;CZE;;;;;;;;;;;;;
;Adam;Najman;27/28;C;LIB;0;L;CZE;;;;;;;;;;;;;
;Jaromír;Pérez;27/28;LW;LIB;0;L;CZE;;;;;;;;;;;;;
;Servác;Petrovský;27/28;C;LIB;0;L;SVK;;;;;;;;;;;;;
;Jaromír;Pytlík;26/27+1;C;LIB;0;P;CZE;;;;;;;;;;;;;
;Filip;Sandberg;26/27;C;LIB;0;P;SWE;;;;;;;;;;;;;
;Jaroslav;Vlach;26/27;LW;LIB;0;L;CZE;;;;;;;;;;;;;
;Jasper;Weatherby;-;C;LIB;0;L;USA;;;;;;;;;;;;;
;Marek;Zachar;-;C;LIB;0;L;CZE;;;;;;;;;;;;;
;Ondřej;Baláž;-;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Marek;Baránek;-;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Vít;Beran;26/27;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Kevin;Czuczman;-;O;LIT;0;L;CAN;;;;;;;;;;;;;
;František;Gajdoš;-;O;LIT;0;L;SVK;;;;;;;;;;;;;
;Vojtěch;Husinecký;-;O;LIT;0;P;CZE;;;;;;;;;;;;;
;Markuss;Komuls;-;O;LIT;0;P;LAT;;;;;;;;;;;;;
;Michal;Moravčík;26/27;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Michal;Plutnar;26/27+1;O;LIT;0;P;CZE;;;;;;;;;;;;;
;Adam;Polášek;-;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Quinn;Schiemann;-;O;LIT;0;L;CAN;;;;;;;;;;;;;
;Petr;Šenkeřík;-;O;LIT;0;L;CZE;;;;;;;;;;;;;
;Jaroslav;Brož;-;RW;LIT;0;L;CZE;;;;;;;;;;;;;
;Maxim;Čajkovič;-;RW;LIT;0;P;SVK;;;;;;;;;;;;;
;Michal;Gut;-;C;LIT;0;L;CZE;;;;;;;;;;;;;
;Nicolas;Hlava;-;LW;LIT;0;P;CZE;;;;;;;;;;;;;
